2.12,-7.56e-08
2.13,-7.82e-08
2.13,-7.42e-08
2.13,-7.27e-08
2.13,-7.27e-08
2.13,-7.12e-08
2.14,-7.11e-08
2.14,-6.45e-08
2.15,-6.08e-08
2.16,-5.62e-08
2.17,-5.09e-08
2.18,-5.36e-08
2.18,-4.53e-08
2.18,-4.59e-08
2.18,-4.57e-08
2.18,-4.52e-08
2.18,-4.58e-08
2.18,-4.55e-08
2.19,-4.48e-08
2.19,-4.84e-08
2.19,-4.24e-08
2.19,-4.29e-08
2.19,-4.25e-08
2.19,-4.26e-08
2.2,-3.92e-08
2.21,-3.39e-08
2.22,-3.88e-08
2.22,-2.88e-08
2.22,-3.09e-08
2.22,-3.44e-08
2.22,-2.97e-08
2.22,-3.1e-08
2.22,-3.06e-08
2.22,-3.04e-08
2.22,-3.04e-08
2.22,-3.48e-08
2.22,-2.84e-08
2.22,-2.95e-08
2.22,-2.92e-08
2.22,-2.87e-08
2.23,-2.87e-08
2.23,-3.46e-08
2.23,-2.55e-08
2.23,-2.67e-08
2.23,-2.69e-08
2.23,-2.68e-08
2.23,-2.68e-08
2.23,-2.67e-08
2.23,-2.68e-08
2.23,-3.14e-08
2.23,-2.61e-08
2.23,-2.7e-08
2.23,-2.64e-08
2.23,-2.68e-08
2.23,-2.9e-08
2.24,-2.53e-08
2.24,-2.53e-08
2.25,-2.48e-08
2.26,-2.55e-08
2.27,-1.59e-08
2.29,-3.81e-08
2.29,-3.82e-08
2.29,-3.75e-08
2.29,-3.73e-08
2.29,-3.7e-08
2.29,-3.56e-08
2.29,-3.1e-08
2.3,-2.53e-08
2.3,-3.39e-08
2.3,-2.02e-08
2.3,-2.55e-08
2.3,-2.39e-08
2.3,-2.08e-08
2.3,-2.55e-08
2.3,-5.5e-08
2.3,-2.15e-08
2.3,-2.12e-08
2.3,-2.3e-08
2.3,-2.26e-08
2.3,-2.25e-08
2.31,-2.21e-08
2.31,-1.86e-08
2.31,-1.87e-08
2.32,-1.32e-08
2.32,-1.27e-08
2.32,-2.04e-08
2.32,-3.04e-08
2.32,-1.53e-08
2.32,-1.73e-08
2.32,-1.63e-08
2.32,-1.5e-08
2.32,-1.78e-08
2.33,-1.47e-08
2.33,-1.58e-08
2.33,-2.04e-08
2.33,-1.25e-08
2.33,-5.12e-09
2.33,-1.97e-08
2.33,-1.48e-08
2.33,-1.5e-08
2.33,-1.5e-08
2.33,-1.53e-08
2.33,-1.15e-08
2.34,-8.39e-09
2.35,-9.54e-09
2.35,-9.21e-09
2.35,-8.81e-09
2.35,-8.35e-09
2.35,-8.36e-09
2.35,-8.41e-09
2.35,-8.48e-09
2.35,-8.47e-09
2.36,-1.76e-08
2.36,-5.4e-09
2.36,-9.65e-09
2.36,-1.37e-08
2.36,-7.84e-09
2.36,-7.17e-09
2.36,-8.51e-09
2.36,-8.22e-09
2.36,-8.18e-09
2.36,-1.23e-08
2.36,-1.09e-08
2.36,-1.91e-08
2.36,-2.57e-09
2.36,-6.48e-09
2.36,-7.15e-09
2.36,-6.89e-09
2.36,-6.96e-09
2.36,-7.15e-09
2.37,-6.4e-09
2.37,-3.42e-09
2.38,-5.13e-09
2.4,2.54e-09
2.42,-4.43e-08
2.42,-6.36e-08
2.42,-5.79e-08
2.42,-5.81e-08
2.42,-5.64e-08
2.42,-5.54e-08
2.42,-5.14e-08
2.42,-3.58e-08
2.43,-1.77e-08
2.44,-8.49e-09
2.45,1.51e-09
2.47,2.65e-09
2.48,8e-08
2.48,6.16e-08
2.48,6.35e-08
2.48,6.29e-08
2.48,6.18e-08
2.48,5.61e-08
2.48,6.05e-08
2.48,5.5e-08
2.48,6.44e-08
2.48,5.68e-08
2.48,3.68e-08
2.48,6.02e-08
2.48,5.85e-08
2.48,5.84e-08
2.48,5.74e-08
2.48,5.23e-08
2.49,3.2e-08
2.49,1.75e-08
2.5,8.17e-09
2.5,-2.46e-08
2.5,8.01e-09
2.5,6.09e-09
2.5,2.03e-09
2.5,3.6e-09
2.5,5.43e-09
2.5,1.38e-09
2.5,-1.84e-08
2.5,7.93e-09
2.5,2.7e-09
2.5,2.71e-09
2.5,2.52e-09
2.5,1.78e-09
2.5,1.1e-09
2.5,1.97e-09
2.5,1.93e-09
2.5,1.85e-09
2.5,1.02e-09
2.51,-1.57e-09
2.51,-1.66e-09
2.52,-7.26e-09
2.53,-2.04e-09
2.54,1.17e-10
2.54,2.2e-09
2.54,1.27e-08
2.54,9.23e-09
2.54,1.41e-08
2.54,1.34e-08
2.54,1.3e-08
2.54,1.15e-08
2.54,1.37e-08
2.54,9.99e-09
2.55,8.82e-09
2.55,4.51e-09
2.55,-2.05e-09
2.55,-2.56e-09
2.55,-1.65e-09
2.55,-1.56e-09
2.55,-1.55e-09
2.55,-1.47e-09
2.55,-1.44e-09
2.55,-1.37e-09
2.55,-1.83e-09
2.56,-3.53e-09
2.57,-2.45e-09
2.58,-5.49e-09
2.59,-9.61e-09
2.61,8.34e-08
2.61,9.9e-08
2.61,9.44e-08
2.61,9.39e-08
2.61,9.15e-08
2.61,8.04e-08
2.61,4.05e-08
2.62,1.23e-07
2.62,1.6e-07
2.62,1.56e-07
2.62,1.55e-07
2.62,1.54e-07
2.62,1.49e-07
2.62,1.25e-07
2.63,4.16e-08
2.63,4.74e-08
2.63,4.33e-08
2.63,3.31e-08
2.63,3.32e-08
2.63,2.82e-08
2.63,2.57e-08
2.64,2e-08
2.64,4.1e-09
2.65,-8.39e-09
2.66,-2.08e-08
2.67,-5.4e-09
2.69,-4.42e-08
2.71,5.43e-09
2.72,1.51e-08
2.75,-1.62e-07
2.75,-1.65e-07
2.75,-1.52e-07
2.75,-1.52e-07
2.75,-1.5e-07
2.75,-1.42e-07
2.75,-1.2e-07
2.75,-7.73e-08
2.75,-7.69e-08
2.75,-7.69e-08
2.75,-7.68e-08
2.75,-7.76e-08
2.75,-7.72e-08
2.75,-7.64e-08
2.75,-7.61e-08
2.75,-7.61e-08
2.75,-7.61e-08
2.75,-7.62e-08
2.75,-7.59e-08
2.75,-8.02e-08
2.75,-7.18e-08
2.75,-7.23e-08
2.75,-7.27e-08
2.75,-7.38e-08
2.75,-7.41e-08
2.75,-7.38e-08
2.75,-7.2e-08
2.75,-6.45e-08
2.75,-6.96e-08
2.75,-6.36e-08
2.75,-6.26e-08
2.75,-6.39e-08
2.75,-6.41e-08
2.75,-6.24e-08
2.75,-6.09e-08
2.75,-5.37e-08
2.76,-2.82e-08
2.76,-3.48e-08
2.76,-2.32e-08
2.76,-2.23e-08
2.76,-2.8e-08
2.76,-2.37e-08
2.76,-2.67e-08
2.76,-2.29e-08
2.76,-2.08e-08
2.77,-1.28e-08
2.77,-1.24e-08
2.77,-1.34e-08
2.77,-1.27e-08
2.77,-1.17e-08
2.77,-1.17e-08
2.77,-1.15e-08
2.77,-1.04e-08
2.77,-6.67e-09
2.78,-1.85e-08
2.79,4.75e-08
2.8,9.48e-09
2.83,7.14e-09
2.86,6.91e-09
2.89,4.07e-09
2.93,-6.16e-09
2.96,5.35e-08
2.96,4.5e-08
2.96,5.53e-08
2.96,5.43e-08
2.96,5.52e-08
2.96,5.59e-08
2.96,5.59e-08
2.96,5.68e-08
2.96,5.55e-08
2.96,5.66e-08
2.96,5.68e-08
2.96,5.72e-08
2.96,5.6e-08
2.97,5.15e-08
2.97,4.22e-08
2.97,2.5e-08
2.98,-3.92e-09
2.98,-7.31e-09
2.98,-1.42e-09
2.98,1.24e-09
2.98,-3.62e-09
2.98,-7.21e-09
2.98,-3.55e-10
2.98,-4.47e-09
2.98,-9.69e-09
2.98,-5.64e-10
2.98,-3.9e-09
2.98,-3.88e-09
2.98,-3.8e-09
2.98,-3.72e-09
2.98,-4.23e-09
2.98,-3.63e-09
2.98,-3.23e-09
2.98,-3.02e-09
2.98,-3.25e-09
2.98,-3.47e-09
2.98,-4.31e-09
2.98,-8.01e-09
2.98,-1.16e-08
2.98,2.65e-09
2.98,-2.44e-09
2.98,-3.92e-09
2.98,-1.71e-09
2.98,-7.06e-10
2.98,-7.23e-10
2.98,-8.2e-10
2.99,-1.28e-09
2.99,-3.07e-09
3,-7.03e-09
