0,-1.71e+03
2.35e-07,-1.59e+03
6.87e-07,-1.4e+03
1.16e-06,-1.22e+03
1.65e-06,-1.05e+03
2.17e-06,-905
2.71e-06,-772
3.28e-06,-653
3.89e-06,-547
4.53e-06,-453
5.21e-06,-371
5.94e-06,-300
6.72e-06,-238
7.57e-06,-186
8.48e-06,-142
9.48e-06,-106
1.06e-05,-76.4
1.18e-05,-53.2
1.32e-05,-35.3
1.47e-05,-22
1.66e-05,-12.5
1.87e-05,-6.26
2.14e-05,-2.44
2.48e-05,-0.403
2.94e-05,0.46
3.66e-05,0.693
5.02e-05,0.707
9.9e-05,0.703
0.000291,0.699
0.000567,0.69
0.000912,0.678
0.00132,0.663
0.00178,0.646
0.00229,0.627
0.00282,0.604
0.00337,0.58
0.00394,0.556
0.00454,0.531
0.00515,0.506
0.00578,0.481
0.00645,0.455
0.00714,0.43
0.00787,0.404
0.00864,0.377
0.00946,0.351
0.0103,0.324
0.0113,0.297
0.0123,0.269
0.0135,0.24
0.0147,0.211
0.016,0.183
0.0174,0.156
0.0188,0.132
0.0204,0.11
0.022,0.09
0.0238,0.0726
0.0257,0.0577
0.0279,0.0453
0.0303,0.0356
0.0328,0.0281
0.0356,0.023
0.0387,0.0203
0.0421,0.0201
0.0459,0.0225
0.0505,0.0283
0.0557,0.0334
0.0609,0.0311
0.0662,0.0293
0.0717,0.0281
0.0774,0.0221
0.0832,0.0246
0.0893,0.0177
0.0958,0.0219
0.103,0.0212
0.11,0.0216
0.118,0.0211
0.127,0.022
0.137,0.0226
0.147,0.0234
0.159,0.0274
0.171,0.033
0.185,0.0416
0.199,0.0529
0.213,0.0653
0.226,0.0667
0.238,0.0653
0.25,0.0642
0.26,0.0638
0.27,0.0636
0.28,0.0636
0.289,0.0637
0.297,0.0639
0.306,0.0642
0.314,0.064
0.321,0.0628
0.329,0.0616
0.336,0.06
0.343,0.0585
0.349,0.057
0.356,0.0556
0.362,0.0544
0.368,0.0533
0.374,0.0522
0.38,0.0512
0.386,0.0504
0.391,0.0495
0.397,0.0488
0.403,0.0481
0.408,0.0475
0.414,0.0468
0.419,0.0462
0.425,0.0457
0.43,0.0452
0.435,0.0447
0.441,0.0442
0.446,0.0438
0.452,0.0433
0.457,0.0428
0.463,0.0424
0.469,0.0419
0.474,0.0414
0.48,0.041
0.486,0.0405
0.492,0.0401
0.498,0.0395
0.504,0.0389
0.511,0.0384
0.517,0.0381
0.524,0.0375
0.531,0.0369
0.538,0.0363
0.546,0.0356
0.554,0.0349
0.562,0.0341
0.571,0.0333
0.58,0.0323
0.589,0.0313
